X	pollid	caseid	country	mode	t1knowlevel	numitems	pollgroup	groupsize	avgsd	numindices	genvar	readbrief	t1know	t1knowr	t1knowcor	grpgain	t2know	ppage	educ4	minority	hhincome	female	attextreme	highinc	t1polint	avgsd2	grpgain2	t1knowcor2	t12know	t12knowcor	attextreme2	length	timebtw	grpgainr	t1knowrcor	t2knowr	pollname	numissues	pfemale	pminority	varfemale	sdfemale	vareduc	sdeduc	meaned	meanage	phighinc	meanxtreme	pfemale_ind	entropy	meant1know	meant1knowcor	t1knowlevelcor	meant1know_ind	meant1knowcor_ind	meant2know	knowgain	knowgain2	t2knowlevel	logpk	loggain	tobitpk	meant1knowr	meant1knowrcor	t1knowlevelrcor	knowgainr	knowgainr2	educ3	aus.popparl1	aus.popparl2	aus.republican1	aus.republican2	btp04pr.t1trade	btp04pr.t1mindex	btp04pr.t1services	btp04pr.t2trade	btp04pr.t2mindex	btp04pr.t2services	bulgaria.bulgaria.t1tghpc	bulgaria.bulgaria.t1clibe	bulgaria.bulgaria.t1q8_7	bulgaria.bulgaria.t1q8_1	bulgaria.bulgaria.t1q8_8	bulgaria.bulgaria.t1q8_11	bulgaria.bulgaria.t1q10_3	bulgaria.bulgaria.t1q16	bulgaria.bulgaria.t1q21	bulgaria.bulgaria.t1q22	bulgaria.bulgaria.t1q23	bulgaria.bulgaria.t1q19	bulgaria.bulgaria.t2tghpc	bulgaria.bulgaria.t2clibe	bulgaria.bulgaria.t2q8_7	bulgaria.bulgaria.t2q8_1	bulgaria.bulgaria.t2q8_8	bulgaria.bulgaria.t2q8_11	bulgaria.bulgaria.t2q10_3	bulgaria.bulgaria.t2q16	bulgaria.bulgaria.t2q21	bulgaria.bulgaria.t2q22	bulgaria.bulgaria.t2q23	bulgaria.bulgaria.t2q19	chi.t1att1	chi.t1att2	chi.t1att3	chi.t1att4	chi.t1att5	chi.t1att6	chi.t1att7	chi.t1att8	chi.t1att9	chi.t2att1	chi.t2att2	chi.t2att3	chi.t2att4	chi.t2att5	chi.t2att6	chi.t2att7	chi.t2att8	chi.t2att9	cpl.t1res	cpl.t1cons	cpl.t1poor	cpl.t1renew	cpl.t1fossil	cpl.t1buypwr	cpl.t2res	cpl.t2cons	cpl.t2poor	cpl.t2renew	cpl.t2fossil	cpl.t2buypwr	eu.support_eu_membership_t1	eu.att_towards_privatization_t1	eu.attitude_towards_migration_t1	eu.mil_att_11_12_t1	eu.t1q11b	eu.turkey_enlargement_att_t1	eu.eu_veto_support_t1	eu.support_eu_membership_t2	eu.att_towards_privatization_t2	eu.attitude_towards_migration_t2	eu.mil_att_11_12_t2	eu.t2q11br	eu.turkey_enlargement_att_t2	eu.eu_veto_support_t2	eu.pay_for_pension_1_t2_r	eu.free_trade_index_t2	eu.general_enlargement_att_f_t2	eu.eu_level_decision_making_t2	eu.t2q16jr	eu.support_eu_membership_t3	eu.att_towards_privatization_t3	eu.attitude_towards_migration_t3	eu.mil_att_11_12_t3	eu.t3q11br	eu.turkey_enlargement_att_t3	eu.eu_veto_support_t3	eu.pay_for_pension_1_t3_r	eu.free_trade_index_t3	eu.general_enlargement_att_f_t3	eu.eu_level_decision_making_t3	eu.t3q16jr	grk.t1att1	grk.t1att2	grk.t1att3	grk.t1att4	grk.t1att5	grk.t1att6	grk.t2att1	grk.t2att2	grk.t2att3	grk.t2att4	grk.t2att5	grk.t2att6	ukmonarchy.t1supmon	ukmonarchy.t2supmon	ukmonarchy.t1mpop	ukmonarchy.t2mpop	ukmonarchy.t1pwrm	ukmonarchy.t2pwrm	ukmonarchy.t1reflor	ukmonarchy.t2reflor	nic1.t1att1	nic1.t1att2	nic1.t1att3	nic1.t1att4	nic1.t1att5	nic1.t1att6	nic1.t1att7	nic1.t1att8	nic1.t1att9	nic1.t2att1	nic1.t2att2	nic1.t2att3	nic1.t2att4	nic1.t2att5	nic1.t2att6	nic1.t2att7	nic1.t2att8	nic1.t2att9	swp.t1att1	swp.t1att3	swp.t1att4	swp.t1att5	swp.t1att6	swp.t1att7	swp.t2att1	swp.t2att3	swp.t2att4	swp.t2att5	swp.t2att6	swp.t2att7	ukbge.t1redist	ukbge.t1tax	ukbge.t1wage	ukbge.t1eu	ukbge.t2redist	ukbge.t2tax	ukbge.t2wage	ukbge.t2eu	ukcrime.rootcauset1	ukcrime.policet1	ukcrime.punisht1	ukcrime.procrightst1	ukcrime.selfprotectt1	ukcrime.rootcauset2	ukcrime.policet2	ukcrime.punisht2	ukcrime.procrightst2	ukcrime.selfprotectt2	ukeu.eurelat1g	ukeu.euscope1g	ukeu.commies1r	ukeu.favref1r	ukeu.eurelat2g	ukeu.euscope2g	ukeu.commies2r	ukeu.favref2r	ukhealth.t1payhlt	ukhealth.t1poora	ukhealth.t1option	ukhealth.t1hlthfu	ukhealth.t1ctexpt	ukhealth.t1pritre	ukhealth.t1severi	ukhealth.t1preven	ukhealth.t1dispub	ukhealth.t1avgdis	ukhealth.t1moresa	ukhealth.t2payhlt	ukhealth.t2poora	ukhealth.t2option	ukhealth.t2hlthfu	ukhealth.t2ctexpt	ukhealth.t2pritre	ukhealth.t2severi	ukhealth.t2preven	ukhealth.t2dispub	ukhealth.t2avgdis	ukhealth.t2moresa	wtu.t1att1	wtu.t1att3	wtu.t1att4	wtu.t1att5	wtu.t1att6	wtu.t1att7	wtu.t2att1	wtu.t2att3	wtu.t2att4	wtu.t2att5	wtu.t2att6	wtu.t2att7	eu2009.cc1	eu2009.cc2	eu2009.imm1	eu2009.imm2	nh.t1endexp	nh.t1manvol	nh.t1volloc	nh.t2endexp	nh.t2manvol	nh.t2volloc	nic2.t1usseca	nic2.t1humrh2	nic2.t1envir	nic2.t1inter	nic2.t1multi	nic2.t1demo	nic2.t1forai1	nic2.t1global	nic2.t1trade_b	nic2.t2usseca	nic2.t2humrh2	nic2.t2envir	nic2.t2inter	nic2.t2multi	nic2.t2demo	nic2.t2forai1	nic2.t2global	nic2.t2trade_b	btp03.olt1usseca	btp03.olt1humrh2	btp03.olt1envir	btp03.olt1inter	btp03.olt1multi	btp03.olt1demo	btp03.olt1forai1	btp03.olt1global	btp03.olt1trade	btp03.olt2usseca	btp03.olt2humrh2	btp03.olt2envir	btp03.olt2inter	btp03.olt2multi	btp03.olt2demo	btp03.olt2forai1	btp03.olt2global	btp03.olt2trade	btp04.w4b42	btp04.w4b45	btp04.w4b48	btp04.w4b51	btp04.w4b54	btp04.w4b57	btp04.w4f42	btp04.w4f45	btp04.w4f48	btp04.w4f51	btp04.w4f54	btp04.w4f57	btp05.t1reform	btp05.t1fcvsch	btp05.t1mmtaxe	btp05.t1stest	btp05.t1testsl	btp05.t1nclb	btp05.t1govinv	btp05.t1medqual	btp05.t1costcov	btp05.t1emplypay	btp05.t1indivpay	btp05.t2reform	btp05.t2fcvsch	btp05.t2mmtaxe	btp05.t2stest	btp05.t2testsl	btp05.t2nclb	btp05.t2govinv	btp05.t2medqual	btp05.t2costcov	btp05.t2emplypay	btp05.t2indivpay	sm.t1more	sm.t1belowmrkt	sm.t1openspace	sm.t1countyl	sm.t2more	sm.t2belowmrkt	sm.t2openspace	sm.t2countyl	dpnum	bettered
11	20	321	2	0	0.472888888888889	5	2008	11	0.179532489583788	4	0.12595516810472		1	1	1		1	48	1	0		1	0.166666666666667	"NA"	0.66										1	1	"UK EU"	1	0.545454545454545	0	0.247933884297521	0.497929597731969	0.157456363636364	0.396807716200635	0.241818181818182	46.3636363636364		0.190340909090909	0.5	0.994030211476956	0.490909090909091	0.436363636363636	0.402521008403361	0.44	0.38	0.727272727272727	0	0	0.67563025210084	0		1	0.490909090909091	0.436363636363636	0.402521008403361	0	0	1																																																																																																																																																																				0.916666666666667	0.5	0.375	0.375	0.8	0.833333333333333	0.75	1																																																																																																																											1	"TRUE"
12	20	328	2	0	0.472888888888889	5	2003	14	0.200541247034125	4	0.164754646625743		0	0	0	0.369230769230769	0.2	25	0			0	0.25	"NA"	0.66									0.369230769230769	0	0.2	"UK EU"	1	0.428571428571429	0	0.244897959183673	0.494871659305393	0.138153846153846	0.371690524702805	0.26	46		0.201636904761905	0.461538461538462	1.35646046267513	0.528571428571429	0.342857142857143	0.402521008403361	0.569230769230769	0.369230769230769	0.642857142857143	0.2	0.2	0.67563025210084	-9.21034037197618	-0.996333439547691	0	0.528571428571429	0.342857142857143	0.402521008403361	0.2	0.2	0																																																																																																																																																																				0.75	0.75	0.25	0.25	0.666666666666667	0.833333333333333	0.75	0.75																																																																																																																											1	"FALSE"
13	20	337	2	0	0.472888888888889	5	2010	16	0.225339985338355	4	0.166808635860289		0.8	0.8	0.6	0.733333333333333	0.8	39	0	0		1	0.21875	"NA"	0.66									0.733333333333333	0.6	0.8	"UK EU"	1	0.5625	0.0625	0.24609375	0.496078370824611	0.1724	0.415210789840534	0.435	43.8125		0.22265625	0.533333333333333	1.32598947490551	0.675	0.6125	0.402521008403361	0.666666666666667	0.613333333333333	0.8375	0	0.2	0.67563025210084	-0.510825623765991	-0.31015492830384	0	0.675	0.6125	0.402521008403361	0	0.2	0																																																																																																																																																																				0.875	0.5	0.25	0.25	0.866666666666667	1	0.75	1																																																																																																																											1	"FALSE"
14	20	401	2	0	0.472888888888889	5	2014	15	0.196828712761423	4	0.146635068509987		0.4	0.4	0.2	0.267857142857143	0.8	65	0	0		1	0.208333333333333	"NA"	0.66									0.267857142857143	0.2	0.8	"UK EU"	1	0.6	0	0.24	0.489897948556636	0.16067967032967	0.40084868757384	0.307857142857143	41.2666666666667		0.203472222222222	0.571428571428571	2.56705598354505	0.386666666666667	0.32	0.402521008403361	0.385714285714286	0.328571428571429	0.706666666666667	0.4	0.6	0.67563025210084	-1.6094379124341	-1.31730148963294	0	0.386666666666667	0.32	0.402521008403361	0.4	0.6	0																																																																																																																																																																				0.416666666666667	0.375	0.125	0.25	0.666666666666667	0.666666666666667	0.5	1																																																																																																																											1	"FALSE"
15	20	431	2	0	0.472888888888889	5	2013	17	0.165175858988197	4	0.132754412674218		1	1	1		1	57	0.66	0		1	0.25	"NA"	0.66										1	1	"UK EU"	1	0.588235294117647	0.0588235294117647	0.242214532871972	0.49215295678475	0.05399625	0.232370931917054	0.103125	47.0588235294118		0.170955882352941	0.5625	1.30017477642557	0.529411764705882	0.458823529411765	0.402521008403361	0.5	0.425	0.705882352941177	0	0	0.67563025210084	0		1	0.529411764705882	0.458823529411765	0.402521008403361	0	0	0.5																																																																																																																																																																				0	0.125	0.375	0.5	0	0.5	0.75	1																																																																																																																											1	"TRUE"
16	20	432	2	0	0.472888888888889	5	2015	21	0.178935947338054	4	0.145113110732012		1	1	1		1	33	0.66	0		0	0.270833333333333	"NA"	0.66										1	1	"UK EU"	1	0.523809523809524	0	0.249433106575964	0.499432784842929	0.161409473684211	0.40175797899259	0.249	49.3809523809524		0.190972222222222	0.55	0.998363672593813	0.533333333333333	0.380952380952381	0.402521008403361	0.51	0.35	0.580952380952381	0	0	0.67563025210084	0		1	0.533333333333333	0.380952380952381	0.402521008403361	0	0	0.5																																																																																																																																																																				0.833333333333333	0.75	0.125	0.375	0	0.5	0.25	1																																																																																																																											1	"TRUE"
17	20	502	2	0	0.472888888888889	5	2015	21	0.178935947338054	4	0.145113110732012		0.4	0.4	0	0.4	0	43	0	0		0	0.197916666666667	"NA"	0.66									0.4	0	0	"UK EU"	1	0.523809523809524	0	0.249433106575964	0.499432784842929	0.161409473684211	0.40175797899259	0.249	49.3809523809524		0.190972222222222	0.55	0.998363672593813	0.533333333333333	0.380952380952381	0.402521008403361	0.54	0.4	0.580952380952381	-0.4	0	0.67563025210084	-9.21034037197618	-0.916290731874155	0	0.533333333333333	0.380952380952381	0.402521008403361	-0.4	0	0																																																																																																																																																																				0.333333333333333	0.25	0.125	0.5		0																																																																																																																													1	"FALSE"
18	20	504	2	0	0.472888888888889	5	2001	15	0.169533130751143	4	0.128466629323944		0.4	0.4	0.2	0.553571428571428	0.2	31	0	0		0	0.197916666666667	"NA"	0									0.553571428571428	0.2	0.2	"UK EU"	1	0.466666666666667	0.0714285714285714	0.248888888888889	0.498887651569859	0.149235238095238	0.386309769608844	0.309333333333333	47.2666666666667		0.188194444444444	0.5	3.28653256733216	0.56	0.533333333333333	0.402521008403361	0.571428571428571	0.557142857142857	0.76	-0.2	0	0.67563025210084	-1.6094379124341	-0.591364486250003	0	0.56	0.533333333333333	0.402521008403361	-0.2	0	0																																																																																																																																																																				0.666666666666667	0.75	0.25	0.375	0.6	0.666666666666667	0.75	0.5																																																																																																																											1	"FALSE"
19	20	509	2	0	0.472888888888889	5	2002	20	0.180736529488237	4	0.155936706479919		1	1	1		1	63	0	0		0	0.260416666666667	"NA"	1										1	1	"UK EU"	1	0.5	0.1	0.25	0.5	0.115389473684211	0.339690261391478	0.313157894736842	45		0.190625	0.526315789473684	3.13512790775871	0.46	0.39	0.402521008403361	0.431578947368421	0.357894736842105	0.76	0	0	0.67563025210084	0		1	0.46	0.39	0.402521008403361	0	0	0																																																																																																																																																																				0.916666666666667	0.875	0.375	0.375	0.8	1	0.75	0.75																																																																																																																											1	"FALSE"
20	20	510	2	0	0.472888888888889	5	2011	15	0.185714303166487	4	0.132280019672917		1	1	1		1	38	0.66	0		0	0.3125	"NA"	0.66										1	1	"UK EU"	1	0.333333333333333	0.0666666666666667	0.222222222222222	0.471404520791032	0.117235238095238	0.342396317292167	0.242666666666667	48		0.208333333333333	0.357142857142857	2.82626493034148	0.586666666666667	0.453333333333333	0.402521008403361	0.557142857142857	0.414285714285714	0.64	0	0	0.67563025210084	0		1	0.586666666666667	0.453333333333333	0.402521008403361	0	0	0.5																																																																																																																																																																				1	0.875	0.375	0.25	0.8	0.75	0.75	0.75																																																																																																																											1	"TRUE"
21	20	519	2	0	0.472888888888889	5	2005	15	0.176075178523104	4	0.137189831182989		0.4	0.4	0	0.414285714285714	0	44	1	0		1	0.125	"NA"	0.66									0.414285714285714	0	0	"UK EU"	1	0.466666666666667	0.0666666666666667	0.248888888888889	0.498887651569859	0.117235238095238	0.342396317292167	0.242666666666667	41.2142857142857		0.16875	0.428571428571429	2.90476072826862	0.506666666666667	0.386666666666667	0.402521008403361	0.514285714285714	0.414285714285714	0.64	-0.4	0	0.67563025210084	-9.21034037197618	-0.881199412062885	0	0.506666666666667	0.386666666666667	0.402521008403361	-0.4	0	1																																																																																																																																																																				0.625	0.75	0.375	0.5		0																																																																																																																													1	"TRUE"
22	20	527	2	0	0.472888888888889	5	2004	16	0.20811894770444	4	0.16379028349869		0.4	0.4	0.2	0.416666666666667	0.6	64	0	0		0	0.3125	"NA"	0.66									0.416666666666667	0.2	0.6	"UK EU"	1	0.625	0.125	0.234375	0.484122918275927	0.117235238095238	0.342396317292167	0.242666666666667	52.5		0.231770833333333	0.666666666666667	3.04273516392804	0.575	0.425	0.402521008403361	0.586666666666667	0.44	0.7	0.2	0.4	0.67563025210084	-1.6094379124341	-0.8754687373539	0	0.575	0.425	0.402521008403361	0.2	0.4	0																																																																																																																																																																				0.75	0.125	0.125	0.25	0.516666666666667	0.583333333333333	0	0.25																																																																																																																											1	"FALSE"
23	20	532	2	0	0.472888888888889	5	2005	15	0.176075178523104	4	0.137189831182989		0.8	0.8	0.6	0.357142857142857	0.8	55	0	0		0	0.114583333333333	"NA"	0.66									0.357142857142857	0.6	0.8	"UK EU"	1	0.466666666666667	0.0666666666666667	0.248888888888889	0.498887651569859	0.117235238095238	0.342396317292167	0.242666666666667	41.2142857142857		0.16875	0.5	2.90476072826862	0.506666666666667	0.386666666666667	0.402521008403361	0.485714285714286	0.371428571428571	0.64	0	0.2	0.67563025210084	-0.510825623765991	-1.02961941718116	0	0.506666666666667	0.386666666666667	0.402521008403361	0	0.2	0																																																																																																																																																																				0.416666666666667	0.25	0.375	0.5	0.433333333333333	0.833333333333333	0.75	0.75																																																																																																																											1	"FALSE"
24	20	602	2	0	0.472888888888889	5	2010	16	0.225339985338355	4	0.166808635860289		0.4	0.4	0.4	0.511111111111111	0.8	21	0.66	0		0	0.21875	"NA"	0.33									0.511111111111111	0.4	0.8	"UK EU"	1	0.5625	0.0625	0.24609375	0.496078370824611	0.1724	0.415210789840534	0.435	43.8125		0.22265625	0.6	1.32598947490551	0.675	0.6125	0.402521008403361	0.693333333333333	0.626666666666667	0.8375	0.4	0.4	0.67563025210084	-0.916290731874155	-0.67116827384117	0	0.675	0.6125	0.402521008403361	0.4	0.4	0.5																																																																																																																																																																				0.75	0.625	0.125	0.375	0.2	0.916666666666667	0	1																																																																																																																											1	"TRUE"
25	20	606	2	0	0.472888888888889	5	2015	21	0.178935947338054	4	0.145113110732012		0.8	0.8	0.6	0.325	0.8	62	1	0		0	0.208333333333333	"NA"	0.66									0.325	0.6	0.8	"UK EU"	1	0.523809523809524	0	0.249433106575964	0.499432784842929	0.161409473684211	0.40175797899259	0.249	49.3809523809524		0.190972222222222	0.55	0.998363672593813	0.533333333333333	0.380952380952381	0.402521008403361	0.52	0.37	0.580952380952381	0	0.2	0.67563025210084	-0.510825623765991	-1.1239300966524	0	0.533333333333333	0.380952380952381	0.402521008403361	0	0.2	1																																																																																																																																																																				0.166666666666667	0.25	0.375	0.375	0.5	0.666666666666667	0.5	1																																																																																																																											1	"TRUE"
26	20	607	2	0	0.472888888888889	5	2014	15	0.196828712761423	4	0.146635068509987		0.6	0.6	0.6	0.0714285714285714	1	38	1	0		0	0.270833333333333	"NA"	0.66									0.0714285714285714	0.6	1	"UK EU"	1	0.6	0	0.24	0.489897948556636	0.16067967032967	0.40084868757384	0.307857142857143	41.2666666666667		0.203472222222222	0.642857142857143	2.56705598354505	0.386666666666667	0.32	0.402521008403361	0.371428571428571	0.3	0.706666666666667	0.4	0.4	0.67563025210084	-0.510825623765991	-2.63905732961526	0	0.386666666666667	0.32	0.402521008403361	0.4	0.4	1																																																																																																																																																																				0.833333333333333	0.75	0.375	0.125	0.483333333333333	0.75	0.75	0.5																																																																																																																											1	"TRUE"
27	20	613	2	0	0.472888888888889	5	2010	16	0.225339985338355	4	0.166808635860289		0.6	0.6	0.6	0.466666666666667	1	48	1	0		1	0.229166666666667	"NA"	0.66									0.466666666666667	0.6	1	"UK EU"	1	0.5625	0.0625	0.24609375	0.496078370824611	0.1724	0.415210789840534	0.435	43.8125		0.22265625	0.533333333333333	1.32598947490551	0.675	0.6125	0.402521008403361	0.68	0.613333333333333	0.8375	0.4	0.4	0.67563025210084	-0.510825623765991	-0.762140052046896	0	0.675	0.6125	0.402521008403361	0.4	0.4	1																																																																																																																																																																				0.916666666666667	0.75	0.25	0.5	0.866666666666667	0.916666666666667	0.75	0.75																																																																																																																											1	"TRUE"
28	20	614	2	0	0.472888888888889	5	2001	15	0.169533130751143	4	0.128466629323944		1	1	1		1	79	0	0		0	0.270833333333333	"NA"	0.66										1	1	"UK EU"	1	0.466666666666667	0.0714285714285714	0.248888888888889	0.498887651569859	0.149235238095238	0.386309769608844	0.309333333333333	47.2666666666667		0.188194444444444	0.5	3.28653256733216	0.56	0.533333333333333	0.402521008403361	0.528571428571429	0.5	0.76	0	0	0.67563025210084	0		1	0.56	0.533333333333333	0.402521008403361	0	0	0																																																																																																																																																																				0.166666666666667	0.25	0.25	0.25	0.1	0.5	0.75	0.5																																																																																																																											1	"FALSE"
29	20	617	2	0	0.472888888888889	5	2014	15	0.196828712761423	4	0.146635068509987		0.4	0.4	0.4	0.142857142857143	1	32	0	0		0	0.21875	"NA"	0.66									0.142857142857143	0.4	1	"UK EU"	1	0.6	0	0.24	0.489897948556636	0.16067967032967	0.40084868757384	0.307857142857143	41.2666666666667		0.203472222222222	0.642857142857143	2.56705598354505	0.386666666666667	0.32	0.402521008403361	0.385714285714286	0.314285714285714	0.706666666666667	0.6	0.6	0.67563025210084	-0.916290731874155	-1.94591014905531	0	0.386666666666667	0.32	0.402521008403361	0.6	0.6	0																																																																																																																																																																				0.75	0.25	0.25	0.375	0.633333333333333	0.583333333333333	0.75	0.5																																																																																																																											1	"FALSE"
30	20	627	2	0	0.472888888888889	5	2004	16	0.20811894770444	4	0.16379028349869		1	1	1		1	70	1	0		1	0.385416666666667	"NA"	1										1	1	"UK EU"	1	0.625	0.125	0.234375	0.484122918275927	0.117235238095238	0.342396317292167	0.242666666666667	52.5		0.231770833333333	0.6	3.04273516392804	0.575	0.425	0.402521008403361	0.546666666666667	0.386666666666667	0.7	0	0	0.67563025210084	0		1	0.575	0.425	0.402521008403361	0	0	1																																																																																																																																																																				0.916666666666667	0.875	0.25	0	0.8	0.833333333333333	0.75	0																																																																																																																											1	"TRUE"
31	20	629	2	0	0.472888888888889	5	2003	14	0.200541247034125	4	0.164754646625743		0.6	0.6	0.2	0.307692307692308	0.6	41	0	0		1	0.239583333333333	"NA"	0.66									0.307692307692308	0.2	0.6	"UK EU"	1	0.428571428571429	0	0.244897959183673	0.494871659305393	0.138153846153846	0.371690524702805	0.26	46		0.201636904761905	0.384615384615385	1.35646046267513	0.528571428571429	0.342857142857143	0.402521008403361	0.523076923076923	0.353846153846154	0.642857142857143	0	0.4	0.67563025210084	-1.6094379124341	-1.17865499634165	0	0.528571428571429	0.342857142857143	0.402521008403361	0	0.4	0																																																																																																																																																																				0.833333333333333	0.25	0.25	0.375	0.266666666666667	0.916666666666667	0.5	0.75																																																																																																																											1	"FALSE"
32	20	632	2	0	0.472888888888889	5	2010	16	0.225339985338355	4	0.166808635860289		0.8	0.8	0.8	0.4	1	43	0	0		0	0.34375	"NA"	1									0.4	0.8	1	"UK EU"	1	0.5625	0.0625	0.24609375	0.496078370824611	0.1724	0.415210789840534	0.435	43.8125		0.22265625	0.6	1.32598947490551	0.675	0.6125	0.402521008403361	0.666666666666667	0.6	0.8375	0.2	0.2	0.67563025210084	-0.22314355131421	-0.916290731874155	1	0.675	0.6125	0.402521008403361	0.2	0.2	0																																																																																																																																																																				0	0.125	0	0.5	0	0.666666666666667	0	1																																																																																																																											1	"FALSE"
33	20	701	2	0	0.472888888888889	5	2011	15	0.185714303166487	4	0.132280019672917		0.8	0.8	0.8	0.357142857142857	1	64	0	0		0	0.40625	"NA"	1									0.357142857142857	0.8	1	"UK EU"	1	0.333333333333333	0.0666666666666667	0.222222222222222	0.471404520791032	0.117235238095238	0.342396317292167	0.242666666666667	48		0.208333333333333	0.357142857142857	2.82626493034148	0.586666666666667	0.453333333333333	0.402521008403361	0.571428571428571	0.428571428571429	0.64	0.2	0.2	0.67563025210084	-0.22314355131421	-1.02961941718116	1	0.586666666666667	0.453333333333333	0.402521008403361	0.2	0.2	0																																																																																																																																																																				1	1	0.25	0.125	0.8	1	1	1																																																																																																																											1	"FALSE"
34	20	707	2	0	0.472888888888889	5	2006	16	0.163529459474755	4	0.127881330909048		0.6	0.6	0.6	0.333333333333333	0.8	20	0.66	0		1	0.197916666666667	"NA"	0.66									0.333333333333333	0.6	0.8	"UK EU"	1	0.625	0.133333333333333	0.234375	0.484122918275927	0.130966666666667	0.361893170240427	0.2075	46.0625		0.169270833333333	0.6	3.02228702523697	0.4375	0.3375	0.402521008403361	0.426666666666667	0.32	0.55	0.2	0.2	0.67563025210084	-0.510825623765991	-1.09861228866811	0	0.4375	0.3375	0.402521008403361	0.2	0.2	0.5																																																																																																																																																																				0.916666666666667	0.375	0.375	0.375	0.35	0.5	0.25	1																																																																																																																											1	"TRUE"
35	20	709	2	0	0.472888888888889	5	2004	16	0.20811894770444	4	0.16379028349869		0.2	0.2	0.2	0.383333333333333	0.8	64	0	0		1	0.260416666666667	"NA"	0.33									0.383333333333333	0.2	0.8	"UK EU"	1	0.625	0.125	0.234375	0.484122918275927	0.117235238095238	0.342396317292167	0.242666666666667	52.5		0.231770833333333	0.6	3.04273516392804	0.575	0.425	0.402521008403361	0.6	0.44	0.7	0.6	0.6	0.67563025210084	-1.6094379124341	-0.958850346292951	0	0.575	0.425	0.402521008403361	0.6	0.6	0																																																																																																																																																																				0.916666666666667	0.75	0.125	0.5	0.866666666666667	0.666666666666667	0.5	1																																																																																																																											1	"FALSE"
36	20	713	2	0	0.472888888888889	5	2003	14	0.200541247034125	4	0.164754646625743		0.4	0.4	0.4	0.282051282051282	0.6	31	0.66	0		1	0.197916666666667	"NA"	0									0.282051282051282	0.4	0.6	"UK EU"	1	0.428571428571429	0	0.244897959183673	0.494871659305393	0.138153846153846	0.371690524702805	0.26	46		0.201636904761905	0.384615384615385	1.35646046267513	0.528571428571429	0.342857142857143	0.402521008403361	0.538461538461538	0.338461538461538	0.642857142857143	0.2	0.2	0.67563025210084	-0.916290731874155	-1.26566637333128	0	0.528571428571429	0.342857142857143	0.402521008403361	0.2	0.2	0.5																																																																																																																																																																				0.333333333333333	0.125	0.375	0.375	0.133333333333333	0.5	0.5	1																																																																																																																											1	"TRUE"
37	20	714	2	0	0.472888888888889	5	2009	14	0.133375124188802	4	0.118908092959857		0.8	0.8	0.6	0.192307692307692	0.8	73	0	0		1	0.145833333333333	"NA"	0.33									0.192307692307692	0.6	0.8	"UK EU"	1	0.642857142857143	0.142857142857143	0.229591836734694	0.479157423749955	0.0436796703296703	0.208996818946295	0.117857142857143	50.9285714285714		0.146577380952381	0.615384615384615	1.53195873725296	0.457142857142857	0.328571428571429	0.402521008403361	0.430769230769231	0.307692307692308	0.671428571428571	0	0.2	0.67563025210084	-0.510825623765991	-1.64865862558738	0	0.457142857142857	0.328571428571429	0.402521008403361	0	0.2	0																																																																																																																																																																				0.416666666666667	0.625	0.25	0.375	0.516666666666667	0.333333333333333	0.25	1																																																																																																																											1	"FALSE"
38	20	716	2	0	0.472888888888889	5	2012	11	0.153079482532264	4	0.111534811006258		0.4	0.4	0.4	0.3	1	41	0	0		0	0.229166666666667	"NA"	0.66									0.3	0.4	1	"UK EU"	1	0.818181818181818	0	0.148760330578512	0.385694607919935	0.141969090909091	0.376787859290995	0.300909090909091	39.0909090909091		0.18844696969697	0.9	2.30122800823176	0.436363636363636	0.327272727272727	0.402521008403361	0.44	0.32	0.654545454545455	0.6	0.6	0.67563025210084	-0.916290731874155	-1.20397280432594	0	0.436363636363636	0.327272727272727	0.402521008403361	0.6	0.6	0																																																																																																																																																																				0.916666666666667	0.875	0.375	0.5	0.8	0.833333333333333	0.75	1																																																																																																																											1	"FALSE"
39	20	735	2	0	0.472888888888889	5	2007	18	0.19758566345819	4	0.150486490859033		0.8	0.8	0.8	0.176470588235294	1	50	0	0		0	0.1875	"NA"	0.66									0.176470588235294	0.8	1	"UK EU"	1	0.555555555555556	0	0.246913580246914	0.496903994999953	0.10481625	0.323753378360752	0.268125	44.8333333333333		0.208912037037037	0.588235294117647	1.30061948898855	0.544444444444445	0.333333333333333	0.402521008403361	0.529411764705882	0.305882352941176	0.6	0.2	0.2	0.67563025210084	-0.22314355131421	-1.73460105538811	1	0.544444444444445	0.333333333333333	0.402521008403361	0.2	0.2	0																																																																																																																																																																				0.75	0.625	0.125	0.5	0.716666666666667	0.75	0.25	1																																																																																																																											1	"FALSE"
40	20	802	2	0	0.472888888888889	5	2011	15	0.185714303166487	4	0.132280019672917		0.4	0.4	0	0.485714285714286	0	55	0	0		0	0.145833333333333	"NA"	0.33									0.485714285714286	0	0	"UK EU"	1	0.333333333333333	0.0666666666666667	0.222222222222222	0.471404520791032	0.117235238095238	0.342396317292167	0.242666666666667	48		0.208333333333333	0.357142857142857	2.82626493034148	0.586666666666667	0.453333333333333	0.402521008403361	0.6	0.485714285714286	0.64	-0.4	0	0.67563025210084	-9.21034037197618	-0.722134717433197	0	0.586666666666667	0.453333333333333	0.402521008403361	-0.4	0	0																																																																																																																																																																				0.166666666666667	0.375	0.375	0.5		0																																																																																																																													1	"FALSE"
